JWUQPZHNJQDL_7	0.01	1.5	1000	0.5	7	gene1945	499	499	142	gene1945	2.51E-02	5.43E-01	5.44E-01	-6.15E-02	1.01E-01	1.92E-02
JWUQPZHNJQDL_8	0.01	1.5	1000	0.5	8	gene1945	499	499	142	gene1945	2.51E-02	3.11E-01	3.12E-01	-1.03E-01	1.01E-01	3.21E-02
JWUQPZHNJQDL_9	0.01	1.5	1000	0.5	9	gene1945	499	499	142	gene1945	2.51E-02	8.39E-01	8.40E-01	2.05E-02	1.01E-01	6.41E-03
JWUQPZHNJQDL_10	0.01	1.5	1000	0.5	10	gene1945	499	499	142	gene1945	2.51E-02	5.43E-01	5.44E-01	6.15E-02	1.01E-01	1.92E-02
MBJOPUHNNJFG_1	0.01	5	100	0.5	1	gene1945	49	49	1042	gene1945	3.06E-02	5.58E-01	5.36E-01	-1.66E-01	2.67E-01	6.32E-02	bad-chisq
MBJOPUHNNJFG_2	0.01	5	100	0.5	2	gene1945	49	49	1042	gene1945	2.04E-02	1.53E-01	1.56E-01	5.10E-01	3.57E-01	1.44E-01	bad-chisq
MBJOPUHNNJFG_3	0.01	5	100	0.5	3	gene1945	49	49	1042	gene1945	3.06E-02	7.85E-02	7.71E-02	-5.20E-01	2.91E-01	1.79E-01	bad-chisq
MBJOPUHNNJFG_6	0.01	5	100	0.5	6	gene1945	49	49	1042	gene1945	1.02E-02	3.15E-01	3.20E-01	5.05E-01	5.05E-01	1.02E-01	bad-chisq
MBJOPUHNNJFG_8	0.01	5	100	0.5	8	gene1945	49	49	1042	gene1945	1.02E-02	3.15E-01	3.54E-01	-4.83E-01	5.18E-01	9.46E-02	bad-chisq
MBJOPUHNNJFG_9	0.01	5	100	0.5	9	gene1945	49	49	1042	gene1945	1.02E-02	3.15E-01	3.20E-01	5.05E-01	5.05E-01	1.02E-01	bad-chisq
YGWBGUXIXIDD_1	0.01	5	200	0.5	1	gene1945	99	99	942	gene1945	2.53E-02	1.74E-01	1.76E-01	-3.08E-01	2.27E-01	9.66E-02	bad-chisq
YGWBGUXIXIDD_2	0.01	5	200	0.5	2	gene1945	99	99	942	gene1945	3.03E-02	1.29E-02	9.20E-03	5.38E-01	2.05E-01	1.85E-01	bad-chisq
YGWBGUXIXIDD_4	0.01	5	200	0.5	4	gene1945	99	99	942	gene1945	1.52E-02	5.61E-01	6.38E-01	-1.39E-01	2.95E-01	3.36E-02	bad-chisq
YGWBGUXIXIDD_5	0.01	5	200	0.5	5	gene1945	99	99	942	gene1945	2.53E-02	6.51E-01	6.53E-01	-1.03E-01	2.28E-01	3.22E-02	bad-chisq
YGWBGUXIXIDD_6	0.01	5	200	0.5	6	gene1945	99	99	942	gene1945	1.52E-02	5.61E-01	6.89E-01	-1.27E-01	3.18E-01	2.86E-02	bad-chisq
YGWBGUXIXIDD_7	0.01	5	200	0.5	7	gene1945	99	99	942	gene1945	2.02E-02	4.33E-02	4.36E-02	5.10E-01	2.51E-01	1.44E-01	bad-chisq
YGWBGUXIXIDD_8	0.01	5	200	0.5	8	gene1945	99	99	942	gene1945	2.02E-02	3.12E-01	3.15E-01	2.55E-01	2.53E-01	7.18E-02	bad-chisq
YGWBGUXIXIDD_9	0.01	5	200	0.5	9	gene1945	99	99	942	gene1945	2.02E-02	3.12E-01	3.15E-01	-2.55E-01	2.53E-01	7.18E-02	bad-chisq
YGWBGUXIXIDD_10	0.01	5	200	0.5	10	gene1945	99	99	942	gene1945	2.53E-02	6.51E-01	6.53E-01	1.03E-01	2.28E-01	3.22E-02	bad-chisq
RNXRHIEMVMTQ_2	0.01	5	300	0.5	2	gene1945	149	149	842	gene1945	2.35E-02	2.51E-01	2.53E-01	2.19E-01	1.91E-01	6.65E-02	bad-chisq
RNXRHIEMVMTQ_3	0.01	5	300	0.5	3	gene1945	149	149	842	gene1945	1.68E-02	1.76E-01	1.77E-01	3.05E-01	2.26E-01	7.84E-02	bad-chisq
RNXRHIEMVMTQ_4	0.01	5	300	0.5	4	gene1945	149	149	842	gene1945	2.35E-02	7.02E-01	7.03E-01	-7.31E-02	1.92E-01	2.22E-02	bad-chisq
RNXRHIEMVMTQ_5	0.01	5	300	0.5	5	gene1945	149	149	842	gene1945	2.35E-02	7.02E-01	7.03E-01	7.33E-02	1.92E-01	2.22E-02	bad-chisq
RNXRHIEMVMTQ_6	0.01	5	300	0.5	6	gene1945	149	149	842	gene1945	2.35E-02	2.51E-01	2.89E-01	2.05E-01	1.93E-01	6.16E-02	bad-chisq
RNXRHIEMVMTQ_8	0.01	5	300	0.5	8	gene1945	149	149	842	gene1945	3.69E-02	1.24E-01	1.25E-01	-2.36E-01	1.54E-01	8.90E-02
RNXRHIEMVMTQ_9	0.01	5	300	0.5	9	gene1945	149	149	842	gene1945	2.68E-02	1.52E-01	1.53E-01	-2.57E-01	1.80E-01	8.30E-02
RNXRHIEMVMTQ_10	0.01	5	300	0.5	10	gene1945	149	149	842	gene1945	2.35E-02	2.51E-01	2.53E-01	2.19E-01	1.91E-01	6.65E-02	bad-chisq
ZBDKXEWAHFMT_1	0.01	5	400	0.5	1	gene1945	199	199	742	gene1945	2.51E-02	2.00E-01	2.01E-01	2.05E-01	1.60E-01	6.42E-02
ZBDKXEWAHFMT_2	0.01	5	400	0.5	2	gene1945	199	199	742	gene1945	1.76E-02	2.53E-01	3.20E-01	1.92E-01	1.93E-01	5.00E-02	bad-chisq
ZBDKXEWAHFMT_3	0.01	5	400	0.5	3	gene1945	199	199	742	gene1945	2.01E-02	1.53E-01	1.07E-01	2.90E-01	1.80E-01	8.08E-02
ZBDKXEWAHFMT_4	0.01	5	400	0.5	4	gene1945	199	199	742	gene1945	2.26E-02	7.36E-01	7.98E-01	4.36E-02	1.71E-01	1.29E-02	bad-chisq
ZBDKXEWAHFMT_5	0.01	5	400	0.5	5	gene1945	199	199	742	gene1945	2.51E-02	2.00E-01	2.01E-01	2.05E-01	1.60E-01	6.42E-02
ZBDKXEWAHFMT_6	0.01	5	400	0.5	6	gene1945	199	199	742	gene1945	2.26E-02	7.36E-01	7.37E-01	5.68E-02	1.69E-01	1.69E-02	bad-chisq
ZBDKXEWAHFMT_7	0.01	5	400	0.5	7	gene1945	199	199	742	gene1945	1.76E-02	2.53E-01	3.11E-01	1.95E-01	1.92E-01	5.09E-02	bad-chisq
ZBDKXEWAHFMT_8	0.01	5	400	0.5	8	gene1945	199	199	742	gene1945	1.51E-02	9.99E-02	1.00E-01	3.38E-01	2.05E-01	8.25E-02	bad-chisq
ZBDKXEWAHFMT_9	0.01	5	400	0.5	9	gene1945	199	199	742	gene1945	2.51E-02	2.00E-01	2.01E-01	2.05E-01	1.60E-01	6.42E-02
ZBDKXEWAHFMT_10	0.01	5	400	0.5	10	gene1945	199	199	742	gene1945	2.76E-02	7.60E-01	7.61E-01	4.67E-02	1.53E-01	1.53E-02
PVDGOMVSGECU_1	0.01	5	500	0.5	1	gene1945	249	249	642	gene1945	1.81E-02	7.37E-01	7.37E-01	5.66E-02	1.69E-01	1.51E-02	bad-chisq
PVDGOMVSGECU_2	0.01	5	500	0.5	2	gene1945	249	249	642	gene1945	3.21E-02	3.09E-01	3.10E-01	1.29E-01	1.27E-01	4.55E-02
PVDGOMVSGECU_4	0.01	5	500	0.5	4	gene1945	249	249	642	gene1945	2.01E-02	5.23E-01	5.24E-01	1.02E-01	1.60E-01	2.86E-02
PVDGOMVSGECU_5	0.01	5	500	0.5	5	gene1945	249	249	642	gene1945	2.21E-02	7.60E-01	7.61E-01	-4.65E-02	1.53E-01	1.37E-02
PVDGOMVSGECU_6	0.01	5	500	0.5	6	gene1945	249	249	642	gene1945	2.41E-02	2.42E-01	2.43E-01	1.71E-01	1.46E-01	5.24E-02
PVDGOMVSGECU_7	0.01	5	500	0.5	7	gene1945	249	249	642	gene1945	2.81E-02	6.71E-03	6.64E-03	3.67E-01	1.35E-01	1.21E-01
PVDGOMVSGECU_8	0.01	5	500	0.5	8	gene1945	249	249	642	gene1945	2.81E-02	2.78E-01	2.79E-01	1.47E-01	1.36E-01	4.86E-02
PVDGOMVSGECU_9	0.01	5	500	0.5	9	gene1945	249	249	642	gene1945	2.01E-02	5.23E-01	5.24E-01	1.02E-01	1.60E-01	2.86E-02
PVDGOMVSGECU_10	0.01	5	500	0.5	10	gene1945	249	249	642	gene1945	2.81E-02	3.01E-02	3.01E-02	2.94E-01	1.35E-01	9.72E-02
HKHOQYVUZUAS_2	0.01	5	600	0.5	2	gene1945	299	299	542	gene1945	2.68E-02	6.12E-01	6.13E-01	6.42E-02	1.27E-01	2.07E-02
HKHOQYVUZUAS_3	0.01	5	600	0.5	3	gene1945	299	299	542	gene1945	2.17E-02	1.61E-01	1.67E-01	1.94E-01	1.41E-01	5.65E-02
HKHOQYVUZUAS_4	0.01	5	600	0.5	4	gene1945	299	299	542	gene1945	2.68E-02	3.11E-01	3.12E-01	1.28E-01	1.27E-01	4.15E-02
HKHOQYVUZUAS_5	0.01	5	600	0.5	5	gene1945	299	299	542	gene1945	2.01E-02	2.43E-01	2.44E-01	1.70E-01	1.46E-01	4.77E-02
HKHOQYVUZUAS_6	0.01	5	600	0.5	6	gene1945	299	299	542	gene1945	2.84E-02	4.60E-01	4.61E-01	9.08E-02	1.23E-01	3.02E-02
HKHOQYVUZUAS_7	0.01	5	600	0.5	7	gene1945	299	299	542	gene1945	2.01E-02	1.97E-02	1.96E-02	3.40E-01	1.45E-01	9.54E-02
HKHOQYVUZUAS_8	0.01	5	600	0.5	8	gene1945	299	299	542	gene1945	2.68E-02	4.26E-02	4.27E-02	2.57E-01	1.26E-01	8.29E-02
HKHOQYVUZUAS_9	0.01	5	600	0.5	9	gene1945	299	299	542	gene1945	2.51E-02	6.72E-02	6.74E-02	2.39E-01	1.31E-01	7.49E-02
HKHOQYVUZUAS_10	0.01	5	600	0.5	10	gene1945	299	299	542	gene1945	3.18E-02	8.16E-01	8.68E-01	1.95E-02	1.17E-01	6.83E-03
YHIWRFOESVGV_1	0.01	5	700	0.5	1	gene1945	349	349	442	gene1945	2.58E-02	1.52E-01	1.52E-01	1.71E-01	1.19E-01	5.42E-02
YHIWRFOESVGV_2	0.01	5	700	0.5	2	gene1945	349	349	442	gene1945	2.29E-02	3.12E-01	2.74E-01	1.40E-01	1.28E-01	4.15E-02
YHIWRFOESVGV_3	0.01	5	700	0.5	3	gene1945	349	349	442	gene1945	2.29E-02	3.12E-01	3.37E-01	1.23E-01	1.28E-01	3.64E-02
YHIWRFOESVGV_4	0.01	5	700	0.5	4	gene1945	349	349	442	gene1945	1.86E-02	1.17E-02	1.17E-02	3.53E-01	1.40E-01	9.54E-02
YHIWRFOESVGV_5	0.01	5	700	0.5	5	gene1945	349	349	442	gene1945	2.72E-02	1.03E-01	1.04E-01	1.89E-01	1.16E-01	6.16E-02
YHIWRFOESVGV_6	0.01	5	700	0.5	6	gene1945	349	349	442	gene1945	2.29E-02	3.12E-01	2.58E-01	1.45E-01	1.28E-01	4.28E-02
