HS11286.2	HS11286:382-822
HS11286.210	HS11286:110937-112310
HS11286.212	HS11286:112569-113486
HS11286.214	HS11286:113469-114803
HS11286.216	HS11286:115066-115701
HS11286.218	HS11286:115717-116076
HS11286.220	HS11286:116128-117228
HS11286.222	HS11286:117595-119433
HS11286.224	HS11286:119447-120229
HS11286.226	HS11286:120633-122159
HS11286.228	HS11286:122594-125492
HS11286.230	HS11286:125591-125705
HS11286.232	HS11286:126077-126898
HS11286.234	HS11286:127017-127355
HS11286.236	HS11286:127380-128900
HS11286.238	HS11286:129103-129234
HS11286.240	HS11286:129494-131140
HS11286.242	HS11286:131137-131394
HS11286.244	HS11286:131411-132340
HS11286.246	HS11286:132401-134251
HS11286.248	HS11286:134311-135798
HS11286.250	HS11286:135795-136685
HS11286.252	HS11286:136838-138313
HS11286.254	HS11286:138517-138798
HS11286.256	HS11286:138850-139131
HS11286.258	HS11286:139244-141265
HS11286.260	HS11286:141270-141992
HS11286.262	HS11286:142055-143053
HS11286.264	HS11286:143184-144110
HS11286.266	HS11286:144130-145638
HS11286.268	HS11286:145757-147022
HS11286.270	HS11286:147364-147693
HS11286.272	HS11286:148024-149283
HS11286.274	HS11286:149524-150627
HS11286.276	HS11286:150671-151687
HS11286.278	HS11286:151789-152874
HS11286.280	HS11286:152871-154133
HS11286.282	HS11286:154130-155197
HS11286.284	HS11286:155216-156097
HS11286.286	HS11286:156075-156749
HS11286.288	HS11286:156755-157885
HS11286.290	HS11286:157887-159137
HS11286.292	HS11286:159134-160210
HS11286.294	HS11286:160207-161553
HS11286.296	HS11286:161565-162305
HS11286.298	HS11286:162511-163896
HS11286.300	HS11286:164717-164890
HS11286.302	HS11286:164897-166093
HS11286.304	HS11286:166097-167278
HS11286.306	HS11286:167300-168040
HS11286.308	HS11286:168037-168978
HS11286.310	HS11286:169203-169322
HS11286.312	HS11286:169336-171888
HS11286.314	HS11286:172022-172342
HS11286.316	HS11286:172489-172692
HS11286.318	HS11286:172728-173552
HS11286.320	HS11286:173549-174256
HS11286.322	HS11286:174253-175155
HS11286.324	HS11286:175155-175871
HS11286.326	HS11286:175935-178097
HS11286.328	HS11286:178058-178210
HS11286.330	HS11286:178453-179403
HS11286.332	HS11286:179446-180339
HS11286.334	HS11286:180388-180852
HS11286.336	HS11286:181005-181865
HS11286.338	HS11286:181933-183759
HS11286.340	HS11286:183821-184441
HS11286.342	HS11286:184486-185394
HS11286.344	HS11286:185557-186177
HS11286.346	HS11286:186287-187279
HS11286.348	HS11286:187324-188124
HS11286.350	HS11286:188213-189112
HS11286.352	HS11286:190201-192465
HS11286.354	HS11286:192524-193336
HS11286.356	HS11286:193609-194370
HS11286.358	HS11286:194506-195954
HS11286.360	HS11286:196025-196780
HS11286.362	HS11286:196794-197399
HS11286.364	HS11286:197396-199036
HS11286.366	HS11286:199166-199417
HS11286.368	HS11286:199421-199957
HS11286.370	HS11286:199960-200739
HS11286.372	HS11286:200772-201575
HS11286.374	HS11286:201572-202060
HS11286.376	HS11286:202100-202219
HS11286.378	HS11286:202239-203714
HS11286.380	HS11286:203764-204465
HS11286.382	HS11286:204573-205736
HS11286.384	HS11286:205746-207935
HS11286.386	HS11286:208127-209458
HS11286.388	HS11286:209458-210072
HS11286.390	HS11286:210111-211562
HS11286.392	HS11286:211574-212107
HS11286.394	HS11286:212502-214028
HS11286.396	HS11286:214464-217362
HS11286.398	HS11286:217462-217576
HS11286.400	HS11286:217993-219021
HS11286.402	HS11286:219018-219980
HS11286.404	HS11286:220006-220872
HS11286.406	HS11286:221942-223126
HS11286.408	HS11286:223463-223846
HS11286.410	HS11286:223848-224393
HS11286.412	HS11286:224550-224978
HS11286.414	HS11286:224982-225686
HS11286.416	HS11286:226100-226597
HS11286.418	HS11286:226664-227029
HS11286.420	HS11286:227354-231382
HS11286.422	HS11286:231459-235682
HS11286.424	HS11286:236083-237423
HS11286.426	HS11286:237466-237783
HS11286.428	HS11286:237787-238047
HS11286.430	HS11286:238264-239796
HS11286.432	HS11286:239909-240031
HS11286.434	HS11286:240113-241246
HS11286.436	HS11286:241243-242013
HS11286.438	HS11286:242015-242215
HS11286.440	HS11286:242199-242954
HS11286.442	HS11286:242947-243582
HS11286.444	HS11286:243582-245477
HS11286.446	HS11286:245740-246237
HS11286.448	HS11286:246331-247104
HS11286.450	HS11286:247145-248209
HS11286.452	HS11286:248222-248893
HS11286.454	HS11286:248936-249526
HS11286.456	HS11286:249713-249985
HS11286.458	HS11286:249998-250693
HS11286.460	HS11286:250697-251134
HS11286.462	HS11286:251285-251404
HS11286.464	HS11286:251394-252788
HS11286.466	HS11286:252775-254106
HS11286.468	HS11286:254096-255391
HS11286.470	HS11286:255407-257023
HS11286.472	HS11286:257631-259157
HS11286.474	HS11286:259508-262406
HS11286.476	HS11286:262506-262620
HS11286.478	HS11286:262782-263243
HS11286.480	HS11286:263400-264329
HS11286.482	HS11286:264590-266191
HS11286.484	HS11286:266256-267575
HS11286.486	HS11286:267678-269462
HS11286.488	HS11286:269513-270406
HS11286.490	HS11286:270538-274221
HS11286.492	HS11286:274351-275982
HS11286.494	HS11286:276070-276879
HS11286.496	HS11286:276872-278104
HS11286.498	HS11286:278177-279001
HS11286.500	HS11286:279013-279813
HS11286.502	HS11286:279879-280373
HS11286.504	HS11286:280373-280780
HS11286.506	HS11286:280790-281593
HS11286.508	HS11286:281664-282617
HS11286.510	HS11286:282961-283836
HS11286.512	HS11286:283833-284105
HS11286.514	HS11286:284222-285151
HS11286.516	HS11286:285290-286639
HS11286.518	HS11286:287404-289053
HS11286.520	HS11286:289103-289558
HS11286.522	HS11286:289567-290076
HS11286.524	HS11286:290184-290564
HS11286.526	HS11286:290585-290716
HS11286.528	HS11286:290738-290905
HS11286.530	HS11286:290898-291638
HS11286.532	HS11286:291722-292999
HS11286.534	HS11286:293373-293783
HS11286.536	HS11286:293975-294865
HS11286.538	HS11286:294880-296424
HS11286.540	HS11286:296542-297732
HS11286.542	HS11286:298103-299212
HS11286.544	HS11286:299296-300585
HS11286.546	HS11286:300700-301623
HS11286.548	HS11286:301811-302308
HS11286.550	HS11286:302321-303187
HS11286.552	HS11286:303236-305659
HS11286.554	HS11286:305788-306156
HS11286.556	HS11286:306279-306887
HS11286.558	HS11286:306957-308273
HS11286.560	HS11286:308293-308442
HS11286.562	HS11286:308508-308717
HS11286.564	HS11286:308813-309328
HS11286.566	HS11286:309327-309485
HS11286.568	HS11286:309578-310066
HS11286.570	HS11286:310167-311165
HS11286.572	HS11286:311305-311547
HS11286.574	HS11286:311730-312713
HS11286.576	HS11286:312883-314298
HS11286.578	HS11286:314330-315409
HS11286.580	HS11286:315586-316779
HS11286.582	HS11286:316970-317683
HS11286.584	HS11286:317814-318230
HS11286.586	HS11286:318234-318590
HS11286.588	HS11286:318591-321416
HS11286.590	HS11286:321668-322192
HS11286.592	HS11286:322317-323897
HS11286.594	HS11286:324159-324323
HS11286.596	HS11286:324484-326742
HS11286.598	HS11286:327006-327374
HS11286.600	HS11286:327408-329168
HS11286.602	HS11286:329391-329510
HS11286.604	HS11286:329542-329772
HS11286.606	HS11286:329794-332217
HS11286.608	HS11286:332769-333122
HS11286.610	HS11286:333161-333922
HS11286.612	HS11286:333933-334946
HS11286.614	HS11286:334943-335701
HS11286.616	HS11286:335826-336908
HS11286.618	HS11286:336938-338077
HS11286.620	HS11286:338138-338971
HS11286.622	HS11286:338968-339825
HS11286.624	HS11286:339872-340153
HS11286.626	HS11286:340660-342264
HS11286.628	HS11286:342249-342578
HS11286.630	HS11286:342663-343121
HS11286.632	HS11286:343381-344049
HS11286.634	HS11286:344438-345787
HS11286.636	HS11286:345935-347581
HS11286.638	HS11286:347744-348625
HS11286.640	HS11286:348731-349138
HS11286.642	HS11286:349135-349824
HS11286.644	HS11286:350241-350366
HS11286.646	HS11286:350335-350892
HS11286.648	HS11286:350953-351642
HS11286.650	HS11286:351950-354175
HS11286.652	HS11286:354247-354759
HS11286.654	HS11286:354779-355876
HS11286.656	HS11286:355924-357579
HS11286.658	HS11286:357576-357887
HS11286.660	HS11286:358071-360029
HS11286.662	HS11286:360130-360330
HS11286.664	HS11286:360442-361755
HS11286.666	HS11286:361792-362478
HS11286.668	HS11286:362708-364387
HS11286.670	HS11286:364436-364855
HS11286.672	HS11286:364809-364949
HS11286.674	HS11286:365128-365856
HS11286.676	HS11286:365942-366700
HS11286.678	HS11286:366706-367623
HS11286.680	HS11286:367748-368755
HS11286.682	HS11286:368830-369771
HS11286.684	HS11286:369802-370800
HS11286.686	HS11286:370797-372317
HS11286.688	HS11286:372497-374782
HS11286.690	HS11286:374853-375206
HS11286.692	HS11286:375228-375986
HS11286.694	HS11286:376002-376565
HS11286.696	HS11286:376565-377701
HS11286.698	HS11286:377698-378378
HS11286.700	HS11286:378486-379244
HS11286.702	HS11286:379241-380089
HS11286.704	HS11286:380082-381146
HS11286.706	HS11286:381147-381731
HS11286.708	HS11286:381728-382180
HS11286.710	HS11286:382181-382906
HS11286.712	HS11286:383062-383661
HS11286.714	HS11286:383725-383958
HS11286.716	HS11286:384605-386107
HS11286.718	HS11286:386157-387095
HS11286.720	HS11286:387335-388687
HS11286.722	HS11286:388781-390196
HS11286.724	HS11286:390202-390324
HS11286.726	HS11286:390472-391428
HS11286.728	HS11286:391438-391809
HS11286.730	HS11286:391975-392760
HS11286.732	HS11286:392817-393338
HS11286.734	HS11286:393507-393812
HS11286.736	HS11286:393812-394729
HS11286.738	HS11286:394805-394918
HS11286.740	HS11286:394875-395558
HS11286.742	HS11286:395522-395752
HS11286.744	HS11286:395784-396569
HS11286.746	HS11286:396615-397064
HS11286.748	HS11286:397064-398392
HS11286.750	HS11286:398385-400400
HS11286.752	HS11286:400409-402856
HS11286.754	HS11286:403490-404056
HS11286.756	HS11286:404051-404173
HS11286.758	HS11286:404446-404658
HS11286.760	HS11286:404932-405069
HS11286.762	HS11286:405441-407528
HS11286.764	HS11286:407596-408186
HS11286.766	HS11286:408207-410003
HS11286.768	HS11286:409979-410302
HS11286.770	HS11286:410427-411728
HS11286.772	HS11286:411844-413280
HS11286.774	HS11286:413305-413463
HS11286.776	HS11286:413618-414094
HS11286.778	HS11286:414146-415396
HS11286.780	HS11286:415448-415594
HS11286.782	HS11286:415629-415922
HS11286.784	HS11286:415960-417606
HS11286.786	HS11286:417867-418220
HS11286.788	HS11286:418275-419138
HS11286.790	HS11286:419151-421274
HS11286.792	HS11286:421267-422553
HS11286.794	HS11286:423082-423447
HS11286.796	HS11286:423659-424693
HS11286.798	HS11286:424716-427040
HS11286.800	HS11286:427295-427981
HS11286.802	HS11286:428039-428602
HS11286.804	HS11286:429083-429727
HS11286.806	HS11286:429849-430811
HS11286.808	HS11286:430919-431485
HS11286.810	HS11286:431559-431690
HS11286.812	HS11286:431850-431996
HS11286.814	HS11286:432140-432457
HS11286.816	HS11286:432454-432987
HS11286.818	HS11286:433101-433460
HS11286.820	HS11286:433471-433866
HS11286.822	HS11286:433877-434611
HS11286.824	HS11286:434604-436394
HS11286.826	HS11286:436670-437647
HS11286.828	HS11286:437830-439332
HS11286.830	HS11286:439370-442699
HS11286.832	HS11286:442723-443685
HS11286.834	HS11286:443846-444907
HS11286.836	HS11286:445002-445547
HS11286.838	HS11286:445591-446322
HS11286.840	HS11286:446347-446547
HS11286.842	HS11286:447255-448394
HS11286.844	HS11286:448408-449919
HS11286.846	HS11286:449924-450373
HS11286.848	HS11286:450390-451745
HS11286.850	HS11286:451756-452079
HS11286.852	HS11286:452067-453614
HS11286.854	HS11286:453652-454557
HS11286.856	HS11286:454650-454958
HS11286.858	HS11286:455034-456314
HS11286.860	HS11286:456380-457642
HS11286.862	HS11286:457645-458649
HS11286.864	HS11286:458732-459022
HS11286.866	HS11286:459000-459140
HS11286.868	HS11286:459245-459442
HS11286.870	HS11286:459545-460843
HS11286.872	HS11286:460994-461419
HS11286.874	HS11286:461456-463888
HS11286.876	HS11286:463979-464701
HS11286.878	HS11286:464827-466464
HS11286.880	HS11286:466455-466730
HS11286.882	HS11286:466868-467176
HS11286.884	HS11286:467386-468102
HS11286.886	HS11286:468099-468854
HS11286.888	HS11286:468962-470026
HS11286.890	HS11286:470389-471789
HS11286.892	HS11286:471850-472107
HS11286.894	HS11286:472117-472584
HS11286.896	HS11286:472598-473248
HS11286.898	HS11286:473258-474112
HS11286.900	HS11286:474112-474798
HS11286.902	HS11286:474862-476055
HS11286.904	HS11286:476205-476480
HS11286.906	HS11286:476821-477216
HS11286.908	HS11286:477541-477768
HS11286.910	HS11286:477810-478259
HS11286.912	HS11286:478368-479042
HS11286.914	HS11286:479261-479881
HS11286.916	HS11286:480186-481589
HS11286.918	HS11286:481694-482356
HS11286.920	HS11286:482439-483410
HS11286.922	HS11286:483486-484310
HS11286.924	HS11286:484388-485236
HS11286.926	HS11286:485326-485697
HS11286.928	HS11286:485752-487695
HS11286.930	HS11286:487935-488630
HS11286.932	HS11286:488620-489177
HS11286.934	HS11286:489501-489707
HS11286.936	HS11286:489970-491307
HS11286.938	HS11286:491488-492126
HS11286.940	HS11286:492335-494068
HS11286.942	HS11286:494065-497841
HS11286.944	HS11286:497898-498188
HS11286.946	HS11286:498226-499392
HS11286.948	HS11286:499548-500735
HS11286.950	HS11286:500810-501340
HS11286.952	HS11286:501795-502700
HS11286.954	HS11286:502713-502841
HS11286.956	HS11286:502824-504326
HS11286.958	HS11286:504337-505362
HS11286.960	HS11286:505373-506347
HS11286.962	HS11286:506390-507388
HS11286.964	HS11286:507564-508937
HS11286.966	HS11286:509006-509533
HS11286.968	HS11286:509577-510785
HS11286.970	HS11286:510970-511086
HS11286.972	HS11286:511800-512351
HS11286.974	HS11286:512459-513799
HS11286.976	HS11286:513836-514222
HS11286.978	HS11286:514277-514408
HS11286.980	HS11286:514512-514850
HS11286.982	HS11286:514861-515223
HS11286.984	HS11286:515226-515525
HS11286.986	HS11286:515547-516323
HS11286.988	HS11286:516337-516981
HS11286.990	HS11286:517087-518220
HS11286.992	HS11286:518204-519322
HS11286.994	HS11286:519319-520059
HS11286.996	HS11286:520126-521280
HS11286.998	HS11286:521303-523213
HS11286.1000	HS11286:523291-523533
HS11286.1002	HS11286:523523-523807
HS11286.1004	HS11286:523811-524275
HS11286.1006	HS11286:524516-526654
HS11286.1008	HS11286:526924-527052
HS11286.1010	HS11286:527011-527754
HS11286.1012	HS11286:527757-527930
HS11286.1014	HS11286:528060-528323
HS11286.1016	HS11286:528414-529721
HS11286.1018	HS11286:529748-531100
HS11286.1020	HS11286:531156-532811
HS11286.1022	HS11286:532863-534281
HS11286.1024	HS11286:534412-535359
HS11286.1026	HS11286:535739-538447
HS11286.1028	HS11286:538520-538906
HS11286.1030	HS11286:539059-539520
HS11286.1032	HS11286:539534-540469
HS11286.1034	HS11286:540805-541257
HS11286.1036	HS11286:541315-541446
HS11286.1038	HS11286:541500-542474
HS11286.1040	HS11286:542486-543316
HS11286.1042	HS11286:543411-544976
HS11286.1044	HS11286:545033-546451
HS11286.1046	HS11286:546536-547261
HS11286.1048	HS11286:547264-548268
HS11286.1050	HS11286:548432-548854
HS11286.1052	HS11286:548913-549677
HS11286.1054	HS11286:549939-550442
HS11286.1056	HS11286:550563-553418
HS11286.1058	HS11286:553418-553861
HS11286.1060	HS11286:553981-555492
HS11286.1062	HS11286:555882-556979
HS11286.1064	HS11286:556979-558061
HS11286.1066	HS11286:558110-559612
HS11286.1068	HS11286:559711-560532
HS11286.1070	HS11286:560883-562388
HS11286.1072	HS11286:562407-563216
HS11286.1074	HS11286:564320-565177
HS11286.1076	HS11286:565329-567242
HS11286.1078	HS11286:567502-567663
HS11286.1080	HS11286:567748-569688
HS11286.1082	HS11286:569735-570748
HS11286.1084	HS11286:570790-571674
HS11286.1086	HS11286:571698-572597
HS11286.1088	HS11286:572741-574051
HS11286.1090	HS11286:574044-575117
HS11286.1092	HS11286:575123-575947
HS11286.1094	HS11286:575958-576845
HS11286.1096	HS11286:576835-577719
HS11286.1098	HS11286:577850-578869
HS11286.1100	HS11286:578981-580450
HS11286.1102	HS11286:580447-581127
HS11286.1104	HS11286:581952-583214
HS11286.1106	HS11286:583272-584282
HS11286.1108	HS11286:584693-584806
HS11286.1110	HS11286:584770-585849
HS11286.1112	HS11286:586054-587022
HS11286.1114	HS11286:587435-587584
HS11286.1116	HS11286:587656-588222
HS11286.1118	HS11286:588240-588485
HS11286.1120	HS11286:588482-589219
HS11286.1122	HS11286:589780-590046
HS11286.1124	HS11286:590397-590591
HS11286.1126	HS11286:590588-590815
HS11286.1128	HS11286:590812-591132
HS11286.1130	HS11286:591147-593480
HS11286.1132	HS11286:594225-594491
HS11286.1134	HS11286:594569-594724
HS11286.1136	HS11286:594857-595336
HS11286.1138	HS11286:595451-595678
HS11286.1140	HS11286:595870-596085
HS11286.1142	HS11286:596352-596699
HS11286.1144	HS11286:596701-597375
HS11286.1146	HS11286:597730-597912
HS11286.1148	HS11286:598562-599431
HS11286.1150	HS11286:599611-600249
HS11286.1152	HS11286:600332-602011
HS11286.1154	HS11286:602070-603509
HS11286.1156	HS11286:603936-605255
HS11286.1158	HS11286:605283-605396
HS11286.1160	HS11286:605527-606909
HS11286.1162	HS11286:607204-608085
HS11286.1164	HS11286:608160-608711
HS11286.1166	HS11286:608708-609232
HS11286.1168	HS11286:609229-609714
HS11286.1170	HS11286:609711-610931
HS11286.1172	HS11286:610928-611650
HS11286.1174	HS11286:611652-612911
HS11286.1176	HS11286:612908-613627
HS11286.1178	HS11286:613624-614058
HS11286.1180	HS11286:614290-615018
HS11286.1182	HS11286:615135-615668
HS11286.1184	HS11286:615678-616025
HS11286.1186	HS11286:616098-619247
HS11286.1188	HS11286:619259-620521
HS11286.1190	HS11286:620567-620911
HS11286.1192	HS11286:620929-622314
HS11286.1194	HS11286:622281-622421
HS11286.1196	HS11286:622486-623169
HS11286.1198	HS11286:623159-624592
HS11286.1200	HS11286:624695-624961
HS11286.1202	HS11286:624972-625505
HS11286.1204	HS11286:625553-626674
HS11286.1206	HS11286:627272-628798
HS11286.1208	HS11286:629149-632047
HS11286.1210	HS11286:632147-632261
HS11286.1212	HS11286:632375-632542
HS11286.1214	HS11286:632865-633182
HS11286.1216	HS11286:633223-634347
HS11286.1218	HS11286:634347-637091
HS11286.1220	HS11286:637088-638155
HS11286.1222	HS11286:638462-639469
HS11286.1224	HS11286:639974-640957
HS11286.1226	HS11286:641008-642492
HS11286.1228	HS11286:642485-643456
HS11286.1230	HS11286:643453-644409
HS11286.1232	HS11286:644446-645228
HS11286.1234	HS11286:645315-646223
HS11286.1236	HS11286:646217-646636
HS11286.1238	HS11286:646708-648120
HS11286.1240	HS11286:648298-648462
HS11286.1242	HS11286:648627-649091
HS11286.1244	HS11286:649098-650165
HS11286.1246	HS11286:650155-651219
HS11286.1248	HS11286:651216-651470
HS11286.1250	HS11286:651467-652234
HS11286.1252	HS11286:652244-653395
HS11286.1254	HS11286:653493-653732
HS11286.1256	HS11286:653758-654999
HS11286.1258	HS11286:655053-656345
HS11286.1260	HS11286:656338-657000
HS11286.1262	HS11286:657048-657863
HS11286.1264	HS11286:658080-659006
HS11286.1266	HS11286:659165-660535
HS11286.1268	HS11286:660633-661178
HS11286.1270	HS11286:661570-662526
HS11286.1272	HS11286:662538-662741
HS11286.1274	HS11286:662851-665001
HS11286.1276	HS11286:665386-666009
HS11286.1278	HS11286:666137-666847
HS11286.1280	HS11286:666922-667434
HS11286.1282	HS11286:667454-669016
HS11286.1284	HS11286:669242-670132
HS11286.1286	HS11286:670142-671500
HS11286.1288	HS11286:671522-672319
HS11286.1290	HS11286:672330-673133
HS11286.1292	HS11286:673242-673622
HS11286.1294	HS11286:673632-674489
HS11286.1296	HS11286:674491-675957
HS11286.1298	HS11286:675954-676718
HS11286.1300	HS11286:676715-677347
HS11286.1302	HS11286:677405-677569
HS11286.1304	HS11286:677634-678074
HS11286.1306	HS11286:678037-678366
HS11286.1308	HS11286:678356-678604
HS11286.1310	HS11286:678641-679657
HS11286.1312	HS11286:679776-680996
HS11286.1314	HS11286:681040-681219
HS11286.1316	HS11286:681197-682636
HS11286.1318	HS11286:682647-683039
HS11286.1320	HS11286:683225-684712
HS11286.1322	HS11286:684722-685594
HS11286.1324	HS11286:685581-686180
HS11286.1326	HS11286:686177-687040
HS11286.1328	HS11286:687110-687646
HS11286.1330	HS11286:687676-688512
HS11286.1332	HS11286:688516-689877
HS11286.1334	HS11286:690057-690971
HS11286.1336	HS11286:691108-692130
HS11286.1338	HS11286:692142-693587
HS11286.1340	HS11286:693724-696489
HS11286.1342	HS11286:696590-697012
HS11286.1344	HS11286:697027-697497
HS11286.1346	HS11286:697514-698293
HS11286.1348	HS11286:698271-699122
HS11286.1350	HS11286:699135-700196
HS11286.1352	HS11286:700214-701224
HS11286.1354	HS11286:701358-702302
HS11286.1356	HS11286:702357-704648
HS11286.1358	HS11286:704906-705397
HS11286.1360	HS11286:705463-706200
HS11286.1362	HS11286:706203-706742
HS11286.1364	HS11286:706845-707318
HS11286.1366	HS11286:707309-708085
HS11286.1368	HS11286:708158-708337
HS11286.1370	HS11286:708365-709549
HS11286.1372	HS11286:709566-710447
HS11286.1374	HS11286:710713-711435
HS11286.1376	HS11286:711396-712070
HS11286.1378	HS11286:712076-712534
HS11286.1380	HS11286:712873-714216
HS11286.1382	HS11286:714266-715054
HS11286.1384	HS11286:715161-716207
HS11286.1386	HS11286:716231-716401
HS11286.1388	HS11286:716409-716711
HS11286.1390	HS11286:717224-718252
HS11286.1392	HS11286:718355-718768
HS11286.1394	HS11286:718737-719183
HS11286.1396	HS11286:719198-719875
HS11286.1398	HS11286:719966-721555
HS11286.1400	HS11286:721775-722395
HS11286.1402	HS11286:722525-722686
HS11286.1404	HS11286:722840-723913
HS11286.1406	HS11286:723910-724704
HS11286.1408	HS11286:724835-726112
HS11286.1410	HS11286:726508-727308
HS11286.1412	HS11286:727422-728744
HS11286.1414	HS11286:728797-730020
HS11286.1416	HS11286:730123-730842
HS11286.1418	HS11286:730923-731939
HS11286.1420	HS11286:731939-732586
HS11286.1422	HS11286:732691-733662
HS11286.1424	HS11286:733672-735054
HS11286.1426	HS11286:735076-736308
HS11286.1428	HS11286:736401-738068
HS11286.1430	HS11286:738297-740234
HS11286.1432	HS11286:740323-740652
HS11286.1434	HS11286:740639-741154
HS11286.1436	HS11286:741268-741915
HS11286.1438	HS11286:741912-742781
HS11286.1440	HS11286:742991-743464
HS11286.1442	HS11286:743477-744166
HS11286.1444	HS11286:744166-745590
HS11286.1446	HS11286:745651-747009
HS11286.1448	HS11286:747072-747788
HS11286.1450	HS11286:748421-749107
HS11286.1452	HS11286:749150-749266
HS11286.1454	HS11286:749468-751930
HS11286.1456	HS11286:751932-752861
HS11286.1458	HS11286:752865-754145
HS11286.1460	HS11286:754461-754838
HS11286.1462	HS11286:754907-755680
HS11286.1464	HS11286:755758-757188
HS11286.1466	HS11286:757391-758344
HS11286.1468	HS11286:758444-759031
HS11286.1470	HS11286:759151-760455
HS11286.1472	HS11286:760518-761084
HS11286.1474	HS11286:761173-761898
HS11286.1476	HS11286:761926-762330
HS11286.1478	HS11286:762716-764632
HS11286.1480	HS11286:764720-765853
HS11286.1482	HS11286:765983-767206
HS11286.1484	HS11286:767261-768157
HS11286.1486	HS11286:768167-768280
HS11286.1488	HS11286:768277-768462
HS11286.1490	HS11286:768921-769808
HS11286.1492	HS11286:769816-772668
HS11286.1494	HS11286:772668-773168
HS11286.1496	HS11286:773284-773733
HS11286.1498	HS11286:773735-774685
HS11286.1500	HS11286:774752-775666
HS11286.1502	HS11286:776010-776939
HS11286.1504	HS11286:777032-777661
HS11286.1506	HS11286:777667-778371
HS11286.1508	HS11286:778364-780079
HS11286.1510	HS11286:780164-781465
HS11286.1512	HS11286:781481-783265
HS11286.1514	HS11286:783281-783532
HS11286.1516	HS11286:783679-785019
HS11286.1518	HS11286:785276-786304
HS11286.1520	HS11286:786335-786628
HS11286.1522	HS11286:786625-787494
HS11286.1524	HS11286:787505-789031
