gene0	Chromosome:1-1524
gene312	Chromosome:364044-364469
gene313	Chromosome:364605-365237
gene314	Chromosome:365234-366142
gene315	Chromosome:366150-372764
gene316	Chromosome:372820-375711
gene317	Chromosome:375914-376585
gene318	Chromosome:376573-377055
gene319	Chromosome:377113-377829
gene320	Chromosome:377931-378587
gene321	Chromosome:378657-379148
gene322	Chromosome:379172-380401
gene323	Chromosome:380556-382418
gene324	Chromosome:382490-382876
gene325	Chromosome:382879-383541
gene326	Chromosome:383602-384486
gene327	Chromosome:384535-385149
gene328	Chromosome:385173-385943
gene329	Chromosome:386204-386274
gene330	Chromosome:386305-387099
gene331	Chromosome:387148-387816
gene332	Chromosome:387888-388550
gene333	Chromosome:388582-389154
gene334	Chromosome:389260-390591
gene335	Chromosome:390580-391251
gene336	Chromosome:391352-392032
gene337	Chromosome:392039-392263
gene338	Chromosome:392273-392728
gene339	Chromosome:392696-394045
gene340	Chromosome:394111-394713
gene341	Chromosome:394694-395320
gene342	Chromosome:395347-396087
gene343	Chromosome:396201-397367
gene344	Chromosome:397442-398227
gene345	Chromosome:398254-398628
gene346	Chromosome:398658-399524
gene347	Chromosome:399535-400050
gene348	Chromosome:400192-401703
gene349	Chromosome:401873-403162
gene350	Chromosome:403193-405841
gene351	Chromosome:405950-408448
gene352	Chromosome:408634-409173
gene353	Chromosome:409362-410801
gene354	Chromosome:410838-412760
gene355	Chromosome:412757-414238
gene356	Chromosome:414381-414941
gene357	Chromosome:415050-415460
gene358	Chromosome:415502-416965
gene359	Chromosome:417304-418290
gene360	Chromosome:418293-418946
gene361	Chromosome:418949-419608
gene362	Chromosome:419835-421712
gene363	Chromosome:421709-422416
gene364	Chromosome:422452-423639
gene365	Chromosome:423639-424019
gene366	Chromosome:424269-424694
gene367	Chromosome:424777-434679
gene368	Chromosome:434830-435474
gene369	Chromosome:435471-436769
gene370	Chromosome:436860-437507
gene371	Chromosome:437518-438297
gene372	Chromosome:438302-438739
gene373	Chromosome:438822-439649
gene374	Chromosome:439871-441253
gene375	Chromosome:441265-442299
gene376	Chromosome:442395-443078
gene377	Chromosome:443067-444197
gene378	Chromosome:444222-444815
gene379	Chromosome:444844-445233
gene380	Chromosome:445314-446525
gene381	Chromosome:446531-447046
gene382	Chromosome:447147-448043
gene383	Chromosome:448040-448633
gene384	Chromosome:448630-449385
gene385	Chromosome:449404-451803
gene386	Chromosome:451800-452279
gene387	Chromosome:452294-453154
gene388	Chromosome:453230-454372
gene389	Chromosome:454421-455386
gene390	Chromosome:455637-455858
gene391	Chromosome:455977-456192
gene392	Chromosome:456268-456819
gene393	Chromosome:456915-457823
gene394	Chromosome:457841-458380
gene395	Chromosome:458461-459315
gene396	Chromosome:459456-462002
gene397	Chromosome:462135-463307
gene398	Chromosome:463411-466668
gene400	Chromosome:468335-469594
gene401	Chromosome:469591-470013
gene402	Chromosome:470010-471230
gene403	Chromosome:471227-472639
gene404	Chromosome:472781-474106
gene405	Chromosome:474122-474841
gene406	Chromosome:474940-475344
gene407	Chromosome:475350-475742
gene408	Chromosome:475816-476184
gene409	Chromosome:476394-476642
gene410	Chromosome:476679-477320
gene411	Chromosome:477327-478556
gene412	Chromosome:478566-479753
gene413	Chromosome:479789-480160
gene414	Chromosome:480355-483231
gene415	Chromosome:483228-483656
gene416	Chromosome:483977-485734
gene417	Chromosome:485731-489939
gene418	Chromosome:489887-490705
gene419	Chromosome:490783-491793
gene420	Chromosome:491786-493858
gene421	Chromosome:493851-495008
gene422	Chromosome:495062-497314
gene423	Chromosome:497314-498300
gene424	Chromosome:498300-499619
gene425	Chromosome:499713-500366
gene426	Chromosome:500350-501018
gene427	Chromosome:501148-502170
gene428	Chromosome:502167-502373
gene429	Chromosome:502366-503124
gene430	Chromosome:503496-504998
gene431	Chromosome:505086-506582
gene432	Chromosome:506561-506971
gene433	Chromosome:507132-507761
gene434	Chromosome:507758-508555
gene435	Chromosome:508582-510225
gene436	Chromosome:510377-510652
gene437	Chromosome:510702-515321
gene438	Chromosome:515373-515816
gene439	Chromosome:516017-516892
gene440	Chromosome:516895-517803
gene441	Chromosome:517803-518396
gene442	Chromosome:518733-519041
gene443	Chromosome:519073-519567
gene444	Chromosome:519600-520322
gene445	Chromosome:520324-521454
gene446	Chromosome:521514-522167
gene447	Chromosome:522347-524533
gene448	Chromosome:524530-525390
gene449	Chromosome:525387-526082
gene450	Chromosome:526143-527360
gene451	Chromosome:527379-528314
gene452	Chromosome:528608-530230
gene453	Chromosome:530296-530724
gene454	Chromosome:530751-532214
gene455	Chromosome:532396-532911
gene456	Chromosome:533091-533789
gene457	Chromosome:533833-534396
gene458	Chromosome:534445-535215
gene459	Chromosome:535224-536507
gene460	Chromosome:536504-537169
gene461	Chromosome:537229-538548
gene462	Chromosome:538588-541491
gene463	Chromosome:541488-541910
gene464	Chromosome:542142-542852
gene465	Chromosome:543174-544730
gene466	Chromosome:545375-545821
gene467	Chromosome:545889-546803
gene468	Chromosome:547076-547357
gene469	Chromosome:547344-547517
gene470	Chromosome:547586-549607
gene471	Chromosome:549675-551198
gene472	Chromosome:551198-551689
gene473	Chromosome:551749-551988
gene474	Chromosome:552026-552550
gene475	Chromosome:552614-554008
gene476	Chromosome:554016-554309
gene477	Chromosome:554313-554885
gene478	Chromosome:554882-556306
gene479	Chromosome:556458-557252
gene480	Chromosome:557527-558813
gene481	Chromosome:558895-559755
gene482	Chromosome:559888-560748
gene483	Chromosome:560848-561711
gene484	Chromosome:561854-562294
gene485	Chromosome:562225-562713
gene486	Chromosome:562723-563427
gene487	Chromosome:563564-564934
gene488	Chromosome:565021-565443
gene489	Chromosome:565797-566396
gene490	Chromosome:566508-566771
gene491	Chromosome:566776-567222
gene492	Chromosome:567222-567896
gene493	Chromosome:567921-568967
gene494	Chromosome:568964-569806
gene495	Chromosome:569988-570512
gene496	Chromosome:570539-571648
gene497	Chromosome:571710-573065
gene498	Chromosome:573046-573801
gene499	Chromosome:573984-575300
gene500	Chromosome:575348-576790
gene501	Chromosome:576787-577338
gene502	Chromosome:577664-578269
gene503	Chromosome:578426-579175
gene504	Chromosome:579349-580581
gene505	Chromosome:580809-581492
gene506	Chromosome:581489-583378
gene507	Chromosome:583375-583704
gene508	Chromosome:583701-584690
gene509	Chromosome:584695-585423
gene510	Chromosome:585424-586314
gene511	Chromosome:586394-587380
gene512	Chromosome:587377-588309
gene513	Chromosome:588325-589167
gene514	Chromosome:589183-590058
gene515	Chromosome:590083-590970
gene516	Chromosome:591111-591347
gene517	Chromosome:591654-592784
gene518	Chromosome:592791-593867
gene519	Chromosome:593871-594779
gene520	Chromosome:594802-595302
gene521	Chromosome:595464-596585
gene522	Chromosome:596759-597202
gene523	Chromosome:597199-600105
gene524	Chromosome:600098-600391
gene525	Chromosome:600441-601847
gene526	Chromosome:601857-602786
gene527	Chromosome:602819-604516
gene528	Chromosome:604602-605591
gene529	Chromosome:605604-606152
gene530	Chromosome:606149-606448
gene531	Chromosome:606551-608062
gene532	Chromosome:608059-608535
gene533	Chromosome:608746-610056
gene534	Chromosome:610188-610883
gene535	Chromosome:611172-612074
gene536	Chromosome:613038-614342
gene537	Chromosome:614326-614721
gene538	Chromosome:614835-616223
gene539	Chromosome:616223-616831
gene540	Chromosome:616846-617496
gene541	Chromosome:617493-618272
gene542	Chromosome:618305-619894
gene543	Chromosome:619891-620865
gene544	Chromosome:620907-622124
gene545	Chromosome:622121-622282
gene546	Chromosome:622329-622646
gene547	Chromosome:622793-624577
gene548	Chromosome:624473-625480
gene549	Chromosome:625562-626440
gene550	Chromosome:626457-627251
gene551	Chromosome:627248-628288
gene552	Chromosome:628298-629731
gene553	Chromosome:630040-631686
gene554	Chromosome:631743-632375
gene555	Chromosome:632372-633034
gene556	Chromosome:633055-634404
gene557	Chromosome:634416-635504
gene558	Chromosome:635573-635875
gene559	Chromosome:635935-636213
gene560	Chromosome:636210-637463
gene561	Chromosome:637583-637969
gene562	Chromosome:638032-638916
gene563	Chromosome:639012-639956
gene564	Chromosome:640228-640641
gene565	Chromosome:640638-640904
gene566	Chromosome:641096-642811
gene567	Chromosome:642889-644493
gene568	Chromosome:644490-645470
gene569	Chromosome:645467-646255
gene570	Chromosome:646298-647962
gene571	Chromosome:647959-648474
gene572	Chromosome:648536-649672
gene573	Chromosome:649689-650393
gene574	Chromosome:650407-650745
gene575	Chromosome:650779-651504
gene576	Chromosome:651529-652755
gene577	Chromosome:652771-653778
gene578	Chromosome:653879-654739
gene579	Chromosome:654924-655949
gene580	Chromosome:656010-657470
gene581	Chromosome:657548-658039
gene582	Chromosome:658109-658189
gene583	Chromosome:658321-659340
gene584	Chromosome:659450-660868
gene585	Chromosome:661003-661269
gene586	Chromosome:661295-663373
gene587	Chromosome:663487-664818
gene588	Chromosome:665042-665383
gene589	Chromosome:665851-667242
gene590	Chromosome:667252-668394
gene591	Chromosome:668579-669745
gene592	Chromosome:669848-671152
gene593	Chromosome:671166-671951
gene594	Chromosome:671996-675916
gene595	Chromosome:676238-676996
gene596	Chromosome:677125-677616
gene597	Chromosome:677710-677925
gene598	Chromosome:677922-678329
gene599	Chromosome:678389-679075
gene600	Chromosome:679229-681862
gene601	Chromosome:681885-684272
gene602	Chromosome:684410-685132
gene603	Chromosome:685129-685926
gene604	Chromosome:685928-686815
gene605	Chromosome:686821-688035
gene606	Chromosome:689059-690504
gene607	Chromosome:690501-692027
gene608	Chromosome:692024-693232
gene609	Chromosome:693237-694787
gene610	Chromosome:694839-695231
gene611	Chromosome:695228-695485
gene612	Chromosome:695668-696903
gene613	Chromosome:697154-697567
gene614	Chromosome:697564-697800
gene615	Chromosome:697904-698410
gene616	Chromosome:698524-698994
gene617	Chromosome:699038-699799
gene618	Chromosome:699856-700167
gene619	Chromosome:700239-701189
gene620	Chromosome:701430-702014
gene621	Chromosome:702813-703199
gene622	Chromosome:703244-703489
gene623	Chromosome:703486-703887
gene624	Chromosome:703830-704057
gene625	Chromosome:704187-704247
gene626	Chromosome:704752-705909
gene627	Chromosome:705961-706182
gene628	Chromosome:706324-706929
gene629	Chromosome:706948-709515
gene630	Chromosome:709356-710348
gene631	Chromosome:710345-710587
gene632	Chromosome:710782-711009
gene633	Chromosome:711006-711407
gene635	Chromosome:712716-713807
gene636	Chromosome:714202-715266
gene637	Chromosome:715370-716317
gene638	Chromosome:716410-716664
gene639	Chromosome:716664-717059
gene640	Chromosome:717153-717893
gene641	Chromosome:718025-718285
gene642	Chromosome:718282-718689
gene643	Chromosome:718761-719912
gene644	Chromosome:720005-721732
gene645	Chromosome:721729-725013
gene646	Chromosome:725013-728306
gene647	Chromosome:728583-729278
gene648	Chromosome:729327-730166
gene649	Chromosome:730320-731033
gene650	Chromosome:731113-731364
gene651	Chromosome:731494-731566
gene652	Chromosome:731603-731676
gene653	Chromosome:731712-731879
gene654	Chromosome:731930-732406
gene655	Chromosome:732393-732821
gene656	Chromosome:732825-733325
gene657	Chromosome:733524-733596
gene658	Chromosome:733737-734222
gene659	Chromosome:734254-734970
gene660	Chromosome:735022-735450
gene661	Chromosome:735517-736224
gene662	Chromosome:736298-737203
gene663	Chromosome:737268-738149
gene664	Chromosome:738297-739160
gene665	Chromosome:739327-740187
gene666	Chromosome:740234-741139
gene667	Chromosome:741151-742617
gene668	Chromosome:742719-746366
gene669	Chromosome:746363-747037
gene670	Chromosome:747037-747945
gene671	Chromosome:748276-748812
gene672	Chromosome:748849-749241
gene673	Chromosome:749234-749929
gene674	Chromosome:750000-751505
gene675	Chromosome:751517-752596
gene676	Chromosome:752984-753367
gene677	Chromosome:753462-753617
gene678	Chromosome:753693-754409
gene679	Chromosome:754685-754993
gene680	Chromosome:754980-755225
gene681	Chromosome:755335-755772
gene682	Chromosome:755769-756023
gene683	Chromosome:756137-758500
gene684	Chromosome:758532-758804
gene685	Chromosome:758801-759139
gene686	Chromosome:759136-759309
gene687	Chromosome:759807-763325
gene688	Chromosome:763370-767320
gene689	Chromosome:767684-769597
gene690	Chromosome:769792-770550
gene691	Chromosome:770582-771424
gene692	Chromosome:771484-773112
gene693	Chromosome:773123-774061
gene694	Chromosome:774064-774786
gene695	Chromosome:774783-775574
gene696	Chromosome:775586-778480
gene697	Chromosome:778477-778905
gene698	Chromosome:778990-779487
gene699	Chromosome:779543-780040
gene700	Chromosome:780042-780416
gene701	Chromosome:780721-781311
gene702	Chromosome:781560-781934
gene703	Chromosome:781934-782404
gene704	Chromosome:782485-784590
gene705	Chromosome:784821-786011
gene706	Chromosome:786149-786946
gene707	Chromosome:787099-787926
gene708	Chromosome:787940-789160
gene709	Chromosome:789157-789411
gene710	Chromosome:790024-791073
gene711	Chromosome:791070-791666
gene712	Chromosome:791757-791846
gene713	Chromosome:791831-792160
gene714	Chromosome:792157-793332
gene715	Chromosome:793335-794525
gene716	Chromosome:794715-795470
gene717	Chromosome:795519-796931
gene718	Chromosome:796933-798372
gene719	Chromosome:798833-799444
gene720	Chromosome:799629-799850
gene721	Chromosome:800487-800792
gene722	Chromosome:800809-801462
gene723	Chromosome:801462-802133
gene724	Chromosome:802133-802435
gene725	Chromosome:802528-803370
gene726	Chromosome:803411-803692
gene727	Chromosome:803689-804282
gene728	Chromosome:804282-805106
gene729	Chromosome:805110-805526
gene730	Chromosome:805526-805759
gene731	Chromosome:805756-806166
gene732	Chromosome:806335-808698
gene733	Chromosome:808746-809645
gene734	Chromosome:809946-810887
gene735	Chromosome:811373-811741
gene736	Chromosome:811742-812059
gene737	Chromosome:812059-812622
gene738	Chromosome:812627-812812
gene739	Chromosome:812976-813374
gene740	Chromosome:813398-813937
gene741	Chromosome:813940-814308
gene742	Chromosome:814328-814990
gene743	Chromosome:814993-815190
gene744	Chromosome:815190-815630
gene745	Chromosome:815663-817534
gene746	Chromosome:817539-818444
gene747	Chromosome:818537-819640
gene748	Chromosome:819843-820499
gene749	Chromosome:820496-821476
gene750	Chromosome:821507-822853
gene751	Chromosome:822866-823594
gene752	Chromosome:823683-824639
gene753	Chromosome:824800-826125
gene754	Chromosome:826122-826667
gene755	Chromosome:826670-827470
gene756	Chromosome:827543-828076
gene757	Chromosome:828140-828892
gene758	Chromosome:829207-829704
gene759	Chromosome:830062-830610
gene760	Chromosome:830855-831661
gene761	Chromosome:831776-832303
gene762	Chromosome:832981-833508
gene763	Chromosome:833886-834443
gene764	Chromosome:834440-834946
gene765	Chromosome:835154-835681
gene766	Chromosome:835701-838052
gene767	Chromosome:838451-840856
gene768	Chromosome:840947-841204
gene769	Chromosome:841228-841656
gene770	Chromosome:841737-841874
gene771	Chromosome:842033-842278
gene772	Chromosome:842347-843231
gene773	Chromosome:843242-844414
gene774	Chromosome:844421-845953
gene775	Chromosome:846159-847913
gene776	Chromosome:848103-850040
gene777	Chromosome:850642-850713
gene778	Chromosome:850741-851466
gene779	Chromosome:851608-852351
gene780	Chromosome:852396-853853
gene781	Chromosome:853825-854157
gene782	Chromosome:854267-854686
gene783	Chromosome:854699-855826
gene784	Chromosome:855925-856470
gene785	Chromosome:856473-856679
gene786	Chromosome:856682-858037
gene787	Chromosome:858037-858864
gene788	Chromosome:858864-860072
gene789	Chromosome:860069-860710
gene790	Chromosome:860912-862381
gene791	Chromosome:862412-863158
gene792	Chromosome:863256-864143
gene793	Chromosome:864140-864574
gene794	Chromosome:864586-865854
gene795	Chromosome:865851-867389
gene796	Chromosome:867440-868351
gene797	Chromosome:868407-869030
gene798	Chromosome:868984-869763
gene799	Chromosome:870008-871426
gene800	Chromosome:871431-872675
gene801	Chromosome:872672-873292
gene802	Chromosome:873343-874236
gene803	Chromosome:876818-878440
gene804	Chromosome:878638-879324
gene805	Chromosome:879340-881040
gene806	Chromosome:881075-881713
gene807	Chromosome:881459-882418
gene808	Chromosome:882524-882763
gene809	Chromosome:882760-883434
gene810	Chromosome:883451-884050
gene811	Chromosome:884072-884800
gene812	Chromosome:884797-885840
gene813	Chromosome:885837-886646
gene814	Chromosome:886719-887024
gene815	Chromosome:887137-888636
gene816	Chromosome:890388-891482
gene817	Chromosome:891472-892269
gene818	Chromosome:892266-893273
gene819	Chromosome:893318-894619
gene820	Chromosome:894631-894978
gene821	Chromosome:894972-895628
gene822	Chromosome:895820-898084
gene823	Chromosome:898081-898710
gene824	Chromosome:898831-899787
gene825	Chromosome:899732-901330
gene826	Chromosome:901635-902024
gene827	Chromosome:902111-903694
gene828	Chromosome:903725-904819
gene829	Chromosome:904905-905087
gene830	Chromosome:905234-906340
gene831	Chromosome:906423-907292
gene832	Chromosome:907338-908018
gene833	Chromosome:908181-908483
gene834	Chromosome:908485-909318
gene835	Chromosome:909611-910033
gene836	Chromosome:910030-910842
gene837	Chromosome:910972-911739
gene838	Chromosome:911736-912683
gene839	Chromosome:912726-913502
gene840	Chromosome:913558-914199
gene841	Chromosome:914257-916311
gene842	Chromosome:916477-917646
gene843	Chromosome:917734-918750
gene844	Chromosome:918264-918458
gene845	Chromosome:918912-919553
gene846	Chromosome:919634-920689
gene847	Chromosome:920741-921133
gene848	Chromosome:921191-921613
gene849	Chromosome:921970-922875
gene850	Chromosome:922894-923709
gene851	Chromosome:923803-923875
gene852	Chromosome:923999-924072
gene853	Chromosome:924110-924183
gene854	Chromosome:924213-924286
gene855	Chromosome:924951-925364
gene856	Chromosome:925361-927610
gene857	Chromosome:927837-930485
gene858	Chromosome:930953-931597
gene859	Chromosome:932279-932932
gene860	Chromosome:933003-934031
gene861	Chromosome:934720-935490
gene862	Chromosome:935577-936389
gene863	Chromosome:936457-937317
gene864	Chromosome:937593-937835
gene865	Chromosome:938112-939404
gene866	Chromosome:939388-940392
gene867	Chromosome:940456-941106
gene868	Chromosome:941190-942467
gene869	Chromosome:942680-944194
gene870	Chromosome:944343-944735
gene871	Chromosome:944938-946056
gene872	Chromosome:946056-947315
gene873	Chromosome:947641-948468
gene874	Chromosome:948757-949395
gene875	Chromosome:949436-951118
gene876	Chromosome:951183-951626
gene877	Chromosome:951632-952711
