CP003351.2	CP003351:1-1335
CP003351.142	CP003351:72996-73196
CP003351.144	CP003351:73223-74416
CP003351.146	CP003351:74484-76049
CP003351.148	CP003351:76108-77031
CP003351.150	CP003351:77227-77832
CP003351.152	CP003351:78140-79156
CP003351.154	CP003351:79297-80598
CP003351.156	CP003351:80644-81306
CP003351.158	CP003351:81327-81725
CP003351.160	CP003351:81791-82873
CP003351.162	CP003351:83085-84647
CP003351.164	CP003351:84640-85773
CP003351.166	CP003351:85773-86729
CP003351.168	CP003351:86828-87994
CP003351.170	CP003351:88018-88836
CP003351.172	CP003351:88853-89560
CP003351.174	CP003351:89858-90544
CP003351.176	CP003351:90716-91297
CP003351.178	CP003351:91430-92113
CP003351.180	CP003351:92432-92845
CP003351.182	CP003351:92929-93399
CP003351.184	CP003351:93493-95580
CP003351.186	CP003351:95752-96939
CP003351.188	CP003351:97346-97654
CP003351.190	CP003351:97685-98314
CP003351.192	CP003351:98342-98965
CP003351.194	CP003351:98965-99255
CP003351.196	CP003351:99294-100127
CP003351.198	CP003351:100170-100448
CP003351.200	CP003351:100471-100818
CP003351.202	CP003351:100832-101488
CP003351.204	CP003351:101491-101925
CP003351.206	CP003351:101915-102103
CP003351.208	CP003351:102128-102394
CP003351.210	CP003351:102452-102820
CP003351.212	CP003351:102857-103165
CP003351.214	CP003351:103193-103732
CP003351.216	CP003351:103751-103936
CP003351.218	CP003351:103972-104370
CP003351.220	CP003351:104402-104938
CP003351.222	CP003351:105099-105455
CP003351.224	CP003351:105476-105976
CP003351.226	CP003351:105991-106170
CP003351.228	CP003351:106214-106654
CP003351.230	CP003351:106654-107949
CP003351.232	CP003351:108011-108658
CP003351.234	CP003351:108849-109067
CP003351.236	CP003351:109100-109216
CP003351.238	CP003351:109234-109599
CP003351.240	CP003351:109627-110016
CP003351.242	CP003351:110096-111034
CP003351.244	CP003351:111062-111442
CP003351.246	CP003351:111714-112553
CP003351.248	CP003351:112529-113398
CP003351.250	CP003351:113388-114185
CP003351.252	CP003351:114388-115134
CP003351.254	CP003351:115467-118136
CP003351.256	CP003351:118374-118562
CP003351.258	CP003351:118832-119194
CP003351.260	CP003351:119246-120928
CP003351.262	CP003351:121045-123081
CP003351.264	CP003351:123130-124131
CP003351.266	CP003351:124253-124495
CP003351.268	CP003351:124763-125767
CP003351.270	CP003351:125768-126712
CP003351.272	CP003351:126712-127674
CP003351.274	CP003351:127701-128615
CP003351.276	CP003351:128641-130422
CP003351.278	CP003351:130770-131456
CP003351.280	CP003351:131476-135057
CP003351.282	CP003351:135066-135875
CP003351.284	CP003351:135886-136884
CP003351.286	CP003351:137071-139338
CP003351.288	CP003351:139427-139879
CP003351.290	CP003351:140029-140979
CP003351.292	CP003351:140972-141931
CP003351.294	CP003351:141928-142683
CP003351.296	CP003351:142706-143659
CP003351.298	CP003351:143796-143903
CP003351.300	CP003351:144303-144599
CP003351.302	CP003351:144954-145310
CP003351.304	CP003351:145320-146219
CP003351.306	CP003351:146739-147467
CP003351.308	CP003351:147630-149639
CP003351.310	CP003351:149768-150844
CP003351.312	CP003351:151151-151609
CP003351.314	CP003351:151707-151850
CP003351.316	CP003351:151952-152887
CP003351.318	CP003351:153012-153968
CP003351.320	CP003351:154022-154624
CP003351.322	CP003351:154640-154978
CP003351.324	CP003351:155131-155865
CP003351.326	CP003351:156192-156602
CP003351.328	CP003351:156595-157296
CP003351.330	CP003351:157296-158882
CP003351.332	CP003351:158901-159122
CP003351.334	CP003351:159119-159880
CP003351.336	CP003351:160260-160769
CP003351.338	CP003351:160844-161383
CP003351.340	CP003351:161523-162134
CP003351.342	CP003351:162450-163247
CP003351.344	CP003351:163275-163910
CP003351.346	CP003351:163930-164703
CP003351.348	CP003351:165111-165908
CP003351.350	CP003351:165925-166299
CP003351.352	CP003351:166283-168928
CP003351.354	CP003351:168946-171054
CP003351.356	CP003351:171076-171636
CP003351.358	CP003351:171721-173709
CP003351.360	CP003351:173932-174645
CP003351.362	CP003351:174722-175168
CP003351.364	CP003351:175338-175940
CP003351.366	CP003351:175953-176954
CP003351.368	CP003351:176983-177561
CP003351.370	CP003351:177613-178095
CP003351.372	CP003351:178212-178586
CP003351.374	CP003351:179155-180030
CP003351.376	CP003351:180548-181900
CP003351.378	CP003351:182047-182637
CP003351.380	CP003351:182765-184114
CP003351.382	CP003351:184282-185022
CP003351.384	CP003351:185035-186627
CP003351.386	CP003351:186666-186857
CP003351.388	CP003351:187195-187491
CP003351.390	CP003351:187667-188392
CP003351.392	CP003351:188385-189227
CP003351.394	CP003351:189230-189751
CP003351.396	CP003351:190004-190567
CP003351.398	CP003351:190818-191087
CP003351.400	CP003351:191275-193401
CP003351.402	CP003351:193911-194177
CP003351.404	CP003351:194321-196312
CP003351.406	CP003351:196542-197843
CP003351.408	CP003351:197973-199343
CP003351.410	CP003351:199525-199848
CP003351.412	CP003351:200173-200778
CP003351.414	CP003351:201108-201824
CP003351.416	CP003351:201837-202532
CP003351.418	CP003351:202616-203245
CP003351.420	CP003351:203760-205100
CP003351.422	CP003351:205169-205771
CP003351.424	CP003351:205793-206281
CP003351.426	CP003351:206603-207976
CP003351.428	CP003351:207960-208397
CP003351.430	CP003351:208677-210422
CP003351.432	CP003351:210618-211694
CP003351.434	CP003351:211787-213199
CP003351.436	CP003351:213521-215032
CP003351.438	CP003351:215162-215512
CP003351.440	CP003351:215528-216649
CP003351.442	CP003351:216660-217022
CP003351.444	CP003351:217198-217467
CP003351.446	CP003351:217657-218604
CP003351.448	CP003351:218910-221615
CP003351.450	CP003351:222213-224036
CP003351.452	CP003351:224839-225102
CP003351.454	CP003351:225102-225368
CP003351.456	CP003351:225569-226057
CP003351.458	CP003351:226256-226354
CP003351.460	CP003351:226598-227269
CP003351.462	CP003351:227266-228183
CP003351.464	CP003351:228180-228821
CP003351.466	CP003351:228825-230000
CP003351.468	CP003351:230193-231224
CP003351.470	CP003351:231843-234482
CP003351.472	CP003351:234650-235348
CP003351.474	CP003351:235566-236711
CP003351.476	CP003351:236808-237188
CP003351.478	CP003351:237493-240090
CP003351.480	CP003351:240319-241425
CP003351.482	CP003351:241442-242470
CP003351.484	CP003351:242476-242955
CP003351.486	CP003351:242971-244266
CP003351.488	CP003351:244277-245101
CP003351.490	CP003351:245266-246165
CP003351.492	CP003351:246291-247160
CP003351.494	CP003351:247313-248773
CP003351.496	CP003351:248770-250026
CP003351.498	CP003351:250040-250885
CP003351.500	CP003351:250887-251198
CP003351.502	CP003351:251280-252431
CP003351.504	CP003351:252558-253316
CP003351.506	CP003351:253416-254060
CP003351.508	CP003351:254067-255074
CP003351.510	CP003351:255090-255932
CP003351.512	CP003351:255949-256755
CP003351.514	CP003351:257004-258068
CP003351.516	CP003351:258065-259150
CP003351.518	CP003351:259163-260140
CP003351.520	CP003351:260133-261077
CP003351.522	CP003351:261399-262052
CP003351.524	CP003351:262137-263042
CP003351.526	CP003351:263044-263676
CP003351.528	CP003351:263996-264520
CP003351.530	CP003351:264592-264792
CP003351.532	CP003351:264845-265204
CP003351.534	CP003351:265456-266763
CP003351.536	CP003351:266840-268969
CP003351.538	CP003351:268944-269633
CP003351.540	CP003351:270041-270727
CP003351.542	CP003351:270863-271030
CP003351.544	CP003351:271107-271547
CP003351.546	CP003351:271551-272396
CP003351.548	CP003351:272545-273963
CP003351.550	CP003351:274020-274967
CP003351.552	CP003351:275190-275540
CP003351.554	CP003351:275740-276819
CP003351.556	CP003351:276963-277283
CP003351.558	CP003351:277305-277769
CP003351.560	CP003351:277974-278579
CP003351.562	CP003351:278618-279907
CP003351.564	CP003351:280335-280814
CP003351.566	CP003351:280899-281408
CP003351.568	CP003351:281508-282158
CP003351.570	CP003351:282609-283547
CP003351.572	CP003351:283560-284612
CP003351.574	CP003351:284878-285513
CP003351.576	CP003351:285704-286495
CP003351.578	CP003351:286975-287883
CP003351.580	CP003351:288041-288661
CP003351.582	CP003351:288658-290784
CP003351.584	CP003351:290838-291212
CP003351.586	CP003351:291345-291806
CP003351.588	CP003351:292120-292290
CP003351.590	CP003351:292306-292845
CP003351.592	CP003351:292873-293610
CP003351.594	CP003351:294461-295150
CP003351.596	CP003351:295390-296304
CP003351.598	CP003351:296286-296666
CP003351.600	CP003351:297341-298102
CP003351.602	CP003351:298304-298801
CP003351.604	CP003351:298784-299521
CP003351.606	CP003351:299826-300134
CP003351.608	CP003351:300161-300460
CP003351.610	CP003351:300634-301185
CP003351.612	CP003351:301331-301624
CP003351.614	CP003351:301617-301913
CP003351.616	CP003351:301988-302986
CP003351.618	CP003351:303078-304031
CP003351.620	CP003351:304088-304846
CP003351.622	CP003351:304906-307587
CP003351.624	CP003351:307574-307936
CP003351.626	CP003351:308134-309375
CP003351.628	CP003351:309522-310157
CP003351.630	CP003351:310348-311088
CP003351.632	CP003351:311233-312831
CP003351.634	CP003351:313015-313356
CP003351.636	CP003351:313395-314435
CP003351.638	CP003351:314644-316050
CP003351.640	CP003351:316037-317665
CP003351.642	CP003351:317840-318673
CP003351.644	CP003351:318753-319742
CP003351.646	CP003351:320031-320729
CP003351.648	CP003351:320894-322195
CP003351.650	CP003351:322212-323627
CP003351.652	CP003351:324091-324411
CP003351.654	CP003351:324437-324754
CP003351.656	CP003351:324783-326036
CP003351.658	CP003351:326167-326631
CP003351.660	CP003351:326660-326980
CP003351.662	CP003351:327011-328144
CP003351.664	CP003351:328521-328850
CP003351.666	CP003351:328917-330611
CP003351.668	CP003351:330668-330796
CP003351.670	CP003351:331235-331600
CP003351.672	CP003351:331597-331962
CP003351.674	CP003351:332054-333481
CP003351.676	CP003351:333951-335786
CP003351.678	CP003351:336091-337569
CP003351.680	CP003351:337535-338866
CP003351.682	CP003351:338980-341532
CP003351.684	CP003351:341539-342978
CP003351.686	CP003351:343324-343686
CP003351.688	CP003351:343873-344730
CP003351.690	CP003351:344850-345761
CP003351.692	CP003351:345768-347414
CP003351.694	CP003351:347516-347815
CP003351.696	CP003351:347805-349481
CP003351.698	CP003351:349485-350078
CP003351.700	CP003351:350102-351178
CP003351.702	CP003351:351203-352072
CP003351.704	CP003351:352183-352947
CP003351.706	CP003351:353321-353455
CP003351.708	CP003351:353436-355529
CP003351.710	CP003351:355554-355856
CP003351.712	CP003351:355883-357172
CP003351.714	CP003351:357191-357598
CP003351.716	CP003351:357621-358490
CP003351.718	CP003351:358549-359112
CP003351.720	CP003351:359562-360167
CP003351.722	CP003351:360302-360754
CP003351.724	CP003351:360767-361288
CP003351.726	CP003351:361306-362016
CP003351.728	CP003351:362210-362581
CP003351.730	CP003351:362601-362825
CP003351.732	CP003351:363070-364383
CP003351.734	CP003351:364711-366333
CP003351.736	CP003351:366527-368023
CP003351.738	CP003351:368103-369848
CP003351.740	CP003351:369906-371801
CP003351.742	CP003351:371798-373255
CP003351.744	CP003351:373839-374273
CP003351.746	CP003351:374374-375465
CP003351.748	CP003351:375495-376172
CP003351.750	CP003351:376504-377799
CP003351.752	CP003351:377789-379249
CP003351.754	CP003351:379385-380881
CP003351.756	CP003351:380895-382718
CP003351.758	CP003351:382719-383435
CP003351.760	CP003351:383741-385216
CP003351.762	CP003351:385200-385670
CP003351.764	CP003351:385796-386350
CP003351.766	CP003351:387080-387394
CP003351.768	CP003351:387408-387668
CP003351.770	CP003351:387838-388152
CP003351.772	CP003351:388154-389809
CP003351.774	CP003351:389892-392027
CP003351.776	CP003351:392202-392711
CP003351.778	CP003351:392708-394012
CP003351.780	CP003351:394120-394977
CP003351.782	CP003351:395089-395409
CP003351.784	CP003351:395563-395958
CP003351.786	CP003351:395933-396943
CP003351.788	CP003351:396971-397576
CP003351.790	CP003351:397723-398388
CP003351.792	CP003351:398671-399330
CP003351.794	CP003351:399407-401017
CP003351.796	CP003351:401030-401911
CP003351.798	CP003351:402165-402764
CP003351.800	CP003351:402833-404134
CP003351.802	CP003351:404714-405970
CP003351.804	CP003351:406261-408138
CP003351.806	CP003351:408381-409802
CP003351.808	CP003351:409911-411278
CP003351.810	CP003351:411559-412578
CP003351.812	CP003351:412600-413607
CP003351.814	CP003351:413600-414265
CP003351.816	CP003351:414258-416552
CP003351.818	CP003351:416812-418977
CP003351.820	CP003351:419281-420114
CP003351.822	CP003351:420216-421877
CP003351.824	CP003351:422423-423583
CP003351.826	CP003351:423599-424042
CP003351.828	CP003351:424525-425055
CP003351.830	CP003351:425160-425711
CP003351.832	CP003351:425864-426337
CP003351.834	CP003351:426475-427947
CP003351.836	CP003351:427944-428654
CP003351.838	CP003351:428886-429170
CP003351.840	CP003351:429451-429870
CP003351.842	CP003351:429872-430456
CP003351.844	CP003351:430503-431978
CP003351.846	CP003351:432159-432470
CP003351.848	CP003351:432585-434921
CP003351.850	CP003351:435063-435731
CP003351.852	CP003351:435734-436777
CP003351.854	CP003351:437014-437895
CP003351.856	CP003351:438054-438782
CP003351.858	CP003351:438938-439255
CP003351.860	CP003351:439248-439856
CP003351.862	CP003351:439872-440702
CP003351.864	CP003351:440840-441328
CP003351.866	CP003351:441379-442251
CP003351.868	CP003351:442427-442789
CP003351.870	CP003351:442798-443550
CP003351.872	CP003351:443564-445366
CP003351.874	CP003351:445643-445960
CP003351.876	CP003351:446043-446684
CP003351.878	CP003351:446736-448880
CP003351.880	CP003351:449237-450610
CP003351.882	CP003351:450610-451005
CP003351.884	CP003351:451033-451950
CP003351.886	CP003351:452058-453071
CP003351.888	CP003351:453152-453751
CP003351.890	CP003351:453937-454638
CP003351.892	CP003351:454648-457359
CP003351.894	CP003351:457810-459438
CP003351.896	CP003351:459498-460679
CP003351.898	CP003351:460931-462454
CP003351.900	CP003351:462523-463251
CP003351.902	CP003351:463264-464544
CP003351.904	CP003351:464575-464703
CP003351.906	CP003351:464684-465286
CP003351.908	CP003351:465531-465737
CP003351.910	CP003351:466061-466768
CP003351.912	CP003351:466849-467532
CP003351.914	CP003351:467750-469936
CP003351.916	CP003351:470282-470692
CP003351.918	CP003351:470706-471062
CP003351.920	CP003351:471741-473289
CP003351.922	CP003351:473644-476556
CP003351.924	CP003351:476653-476767
CP003351.926	CP003351:476819-477289
CP003351.928	CP003351:477448-477906
CP003351.930	CP003351:478077-479222
CP003351.932	CP003351:479235-480152
CP003351.934	CP003351:480580-481143
CP003351.936	CP003351:481629-482888
CP003351.938	CP003351:482875-483675
CP003351.940	CP003351:483678-484559
CP003351.942	CP003351:484556-485272
CP003351.944	CP003351:485278-485973
CP003351.946	CP003351:485989-486990
CP003351.948	CP003351:486987-488348
CP003351.950	CP003351:488308-489459
CP003351.952	CP003351:489434-490603
CP003351.954	CP003351:490778-492157
CP003351.956	CP003351:492385-492537
CP003351.958	CP003351:492534-493235
CP003351.960	CP003351:493424-494092
CP003351.962	CP003351:494292-494678
CP003351.964	CP003351:494650-496032
CP003351.966	CP003351:496188-497375
CP003351.968	CP003351:497382-498413
CP003351.970	CP003351:498429-499883
CP003351.972	CP003351:500058-500963
CP003351.974	CP003351:501054-501731
CP003351.976	CP003351:501728-501898
CP003351.978	CP003351:502012-502908
CP003351.980	CP003351:502963-504333
CP003351.982	CP003351:504571-505317
CP003351.984	CP003351:505314-506153
CP003351.986	CP003351:506154-507104
CP003351.988	CP003351:507245-507997
CP003351.990	CP003351:508016-509167
CP003351.992	CP003351:509550-510158
CP003351.994	CP003351:510326-511963
CP003351.996	CP003351:512035-513147
CP003351.998	CP003351:513222-514595
CP003351.1000	CP003351:514816-515433
CP003351.1002	CP003351:515531-515986
CP003351.1004	CP003351:516004-517506
CP003351.1006	CP003351:517601-517807
CP003351.1008	CP003351:517893-518294
CP003351.1010	CP003351:518449-519780
CP003351.1012	CP003351:519802-520428
CP003351.1014	CP003351:520611-521192
CP003351.1016	CP003351:521924-522271
CP003351.1018	CP003351:522271-522486
CP003351.1020	CP003351:522691-523029
CP003351.1022	CP003351:523316-523546
CP003351.1024	CP003351:523546-523887
CP003351.1026	CP003351:524737-524922
CP003351.1028	CP003351:525427-525621
CP003351.1030	CP003351:526305-527135
CP003351.1032	CP003351:527343-528677
CP003351.1034	CP003351:528718-529629
CP003351.1036	CP003351:529626-530480
CP003351.1038	CP003351:530477-531094
CP003351.1040	CP003351:531096-531614
CP003351.1042	CP003351:531912-532370
CP003351.1044	CP003351:532405-536181
CP003351.1046	CP003351:536181-537494
CP003351.1048	CP003351:537487-539184
CP003351.1050	CP003351:539258-540151
CP003351.1052	CP003351:540335-541009
CP003351.1054	CP003351:541027-542052
CP003351.1056	CP003351:542141-543007
CP003351.1058	CP003351:543044-544420
CP003351.1060	CP003351:544521-545717
CP003351.1062	CP003351:545841-546503
CP003351.1064	CP003351:546731-547294
CP003351.1066	CP003351:547307-547591
CP003351.1068	CP003351:547610-548302
CP003351.1070	CP003351:548314-548859
CP003351.1072	CP003351:549130-552408
CP003351.1074	CP003351:552949-554856
CP003351.1076	CP003351:554986-555861
CP003351.1078	CP003351:555941-556915
CP003351.1080	CP003351:557104-558240
CP003351.1082	CP003351:558377-558721
CP003351.1084	CP003351:558992-560278
CP003351.1086	CP003351:560416-561015
CP003351.1088	CP003351:561419-562540
CP003351.1090	CP003351:562786-564207
CP003351.1092	CP003351:564221-565339
CP003351.1094	CP003351:565399-566691
CP003351.1096	CP003351:566841-567401
CP003351.1098	CP003351:567530-567907
CP003351.1100	CP003351:567942-569912
CP003351.1102	CP003351:570123-571070
CP003351.1104	CP003351:571316-571780
CP003351.1106	CP003351:571842-572885
CP003351.1108	CP003351:573262-574227
CP003351.1110	CP003351:574461-575306
CP003351.1112	CP003351:575497-576684
CP003351.1114	CP003351:576690-577046
CP003351.1116	CP003351:577048-577386
CP003351.1118	CP003351:577772-578815
CP003351.1120	CP003351:578808-579494
CP003351.1122	CP003351:579518-580366
CP003351.1124	CP003351:580563-581336
CP003351.1126	CP003351:581349-582635
CP003351.1128	CP003351:582632-583867
CP003351.1130	CP003351:583854-584324
CP003351.1132	CP003351:584329-585720
CP003351.1134	CP003351:585815-586996
CP003351.1136	CP003351:586996-587730
CP003351.1138	CP003351:587962-588237
CP003351.1140	CP003351:588335-590332
CP003351.1142	CP003351:590408-590743
CP003351.1144	CP003351:590870-591085
CP003351.1146	CP003351:591122-591484
CP003351.1148	CP003351:591530-591856
CP003351.1150	CP003351:592699-594522
CP003351.1152	CP003351:594536-595945
CP003351.1154	CP003351:595954-596799
CP003351.1156	CP003351:596864-597571
CP003351.1158	CP003351:598154-599749
CP003351.1160	CP003351:599739-600938
CP003351.1162	CP003351:600951-604100
CP003351.1164	CP003351:604818-606263
CP003351.1166	CP003351:607594-608259
CP003351.1168	CP003351:608385-610421
CP003351.1170	CP003351:610425-611063
CP003351.1172	CP003351:611091-611519
CP003351.1174	CP003351:611976-612887
CP003351.1176	CP003351:613103-613540
CP003351.1178	CP003351:613635-614519
CP003351.1180	CP003351:614743-617910
CP003351.1182	CP003351:617930-618475
CP003351.1184	CP003351:618503-618958
CP003351.1186	CP003351:618955-619713
CP003351.1188	CP003351:619799-620539
CP003351.1190	CP003351:621165-621851
CP003351.1192	CP003351:622063-623124
CP003351.1194	CP003351:623138-623308
CP003351.1196	CP003351:623692-623919
CP003351.1198	CP003351:624042-624368
CP003351.1200	CP003351:624436-625149
CP003351.1202	CP003351:625459-626310
CP003351.1204	CP003351:626324-626473
CP003351.1206	CP003351:626431-628296
CP003351.1208	CP003351:628344-629753
CP003351.1210	CP003351:629861-630562
CP003351.1212	CP003351:630712-631200
CP003351.1214	CP003351:631261-631371
CP003351.1216	CP003351:632048-632623
CP003351.1218	CP003351:632623-633063
CP003351.1220	CP003351:633079-633780
CP003351.1222	CP003351:634009-634182
CP003351.1224	CP003351:634268-634693
CP003351.1226	CP003351:635067-636038
CP003351.1228	CP003351:636070-637467
CP003351.1230	CP003351:637626-638249
CP003351.1232	CP003351:638998-641091
CP003351.1234	CP003351:641251-642117
CP003351.1236	CP003351:642139-642576
CP003351.1238	CP003351:643265-645913
CP003351.1240	CP003351:646000-646671
CP003351.1242	CP003351:646648-647247
CP003351.1244	CP003351:647318-648391
CP003351.1246	CP003351:648393-649073
CP003351.1248	CP003351:649090-649929
CP003351.1250	CP003351:649960-651183
CP003351.1252	CP003351:651586-653004
CP003351.1254	CP003351:653508-653951
CP003351.1256	CP003351:654169-655509
CP003351.1258	CP003351:655778-656674
CP003351.1260	CP003351:656824-657765
CP003351.1262	CP003351:657891-659012
CP003351.1264	CP003351:659270-660772
CP003351.1266	CP003351:660839-661366
CP003351.1268	CP003351:661577-662638
CP003351.1270	CP003351:662641-663537
CP003351.1272	CP003351:663551-665533
CP003351.1274	CP003351:665598-666044
CP003351.1276	CP003351:666255-667679
CP003351.1278	CP003351:667860-668633
CP003351.1280	CP003351:668630-669535
CP003351.1282	CP003351:669689-670009
CP003351.1284	CP003351:670483-671169
CP003351.1286	CP003351:671171-672115
CP003351.1288	CP003351:672314-672958
CP003351.1290	CP003351:673037-674314
CP003351.1292	CP003351:674498-675247
CP003351.1294	CP003351:675577-675957
CP003351.1296	CP003351:676053-676562
CP003351.1298	CP003351:676639-676818
CP003351.1300	CP003351:676873-677436
CP003351.1302	CP003351:677483-677998
CP003351.1304	CP003351:678024-678893
CP003351.1306	CP003351:679019-679699
CP003351.1308	CP003351:679852-680832
CP003351.1310	CP003351:680955-681428
CP003351.1312	CP003351:681421-681945
CP003351.1314	CP003351:682435-682968
CP003351.1316	CP003351:683832-684584
CP003351.1318	CP003351:684697-685617
CP003351.1320	CP003351:685690-686625
CP003351.1322	CP003351:687046-688059
CP003351.1324	CP003351:688442-689920
CP003351.1326	CP003351:690197-692257
CP003351.1328	CP003351:692340-692909
CP003351.1330	CP003351:693084-693890
CP003351.1332	CP003351:694028-695542
CP003351.1334	CP003351:695945-696928
CP003351.1336	CP003351:696933-697580
CP003351.1338	CP003351:697665-698297
CP003351.1340	CP003351:698313-698864
CP003351.1342	CP003351:698861-699598
CP003351.1344	CP003351:699595-700584
CP003351.1346	CP003351:700842-701384
CP003351.1348	CP003351:701401-702486
CP003351.1350	CP003351:702498-703304
CP003351.1352	CP003351:703305-704132
CP003351.1354	CP003351:704129-705202
CP003351.1356	CP003351:705708-708326
CP003351.1358	CP003351:708469-708891
CP003351.1360	CP003351:708903-709397
CP003351.1362	CP003351:709418-710227
CP003351.1364	CP003351:710224-711045
CP003351.1366	CP003351:711096-713195
CP003351.1368	CP003351:713192-714310
CP003351.1370	CP003351:714349-715227
CP003351.1372	CP003351:716593-717405
CP003351.1374	CP003351:717568-717675
CP003351.1376	CP003351:717733-718800
CP003351.1378	CP003351:718942-719145
CP003351.1380	CP003351:719205-720407
CP003351.1382	CP003351:721056-722186
CP003351.1384	CP003351:722300-723217
CP003351.1386	CP003351:723563-723955
CP003351.1388	CP003351:723983-725323
CP003351.1390	CP003351:726049-726294
CP003351.1392	CP003351:726516-728126
CP003351.1394	CP003351:728418-729287
CP003351.1396	CP003351:729452-730723
CP003351.1398	CP003351:730720-732015
CP003351.1400	CP003351:732114-732377
CP003351.1402	CP003351:732822-733271
CP003351.1404	CP003351:733328-734746
CP003351.1406	CP003351:734746-735606
CP003351.1408	CP003351:735816-736553
CP003351.1410	CP003351:736700-737065
CP003351.1412	CP003351:737213-738421
CP003351.1414	CP003351:738440-738718
CP003351.1416	CP003351:738871-739566
CP003351.1418	CP003351:740008-740805
CP003351.1420	CP003351:740802-741986
CP003351.1422	CP003351:742011-743258
CP003351.1424	CP003351:743473-745218
CP003351.1426	CP003351:745238-745552
CP003351.1428	CP003351:745577-746173
CP003351.1430	CP003351:746237-746881
CP003351.1432	CP003351:746896-747225
CP003351.1434	CP003351:747239-748177
CP003351.1436	CP003351:748213-749037
CP003351.1438	CP003351:749030-749377
CP003351.1440	CP003351:749446-750318
CP003351.1442	CP003351:750427-751548
CP003351.1444	CP003351:751602-752204
CP003351.1446	CP003351:752519-754708
CP003351.1448	CP003351:755034-755801
CP003351.1450	CP003351:755791-757833
CP003351.1452	CP003351:758114-758263
CP003351.1454	CP003351:758274-759788
CP003351.1456	CP003351:759785-760990
CP003351.1458	CP003351:761035-761268
CP003351.1460	CP003351:761271-762539
CP003351.1462	CP003351:762680-763762
CP003351.1464	CP003351:763762-764565
CP003351.1466	CP003351:764635-765375
CP003351.1468	CP003351:765386-766390
CP003351.1470	CP003351:766435-768279
CP003351.1472	CP003351:768620-769009
CP003351.1474	CP003351:769137-769820
CP003351.1476	CP003351:770129-770203
CP003351.1478	CP003351:770361-770720
CP003351.1480	CP003351:770843-772474
CP003351.1482	CP003351:772536-773177
CP003351.1484	CP003351:773459-773767
CP003351.1486	CP003351:773794-774138
CP003351.1488	CP003351:774151-774444
CP003351.1490	CP003351:774851-777685
CP003351.1492	CP003351:777876-778367
CP003351.1494	CP003351:778470-779459
CP003351.1496	CP003351:779492-780295
CP003351.1498	CP003351:780316-781230
CP003351.1500	CP003351:781313-781687
CP003351.1502	CP003351:781826-782071
CP003351.1504	CP003351:782243-783307
CP003351.1506	CP003351:783553-783978
CP003351.1508	CP003351:783971-784420
CP003351.1510	CP003351:784517-785371
CP003351.1512	CP003351:785372-786709
CP003351.1514	CP003351:786714-786938
CP003351.1516	CP003351:786940-787830
CP003351.1518	CP003351:787839-788657
CP003351.1520	CP003351:788764-789213
CP003351.1522	CP003351:789231-790913
CP003351.1524	CP003351:790968-791084
